,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
190,Humanoïde,Nekfeu,21583,https://open.spotify.com/track/6YHNKVx7gSsOX7xq6jaqeq
191,Seuls,"Djadja & Dinaz",21572,https://open.spotify.com/track/1A3qfWiRfw0q5o549PsWI4
192,"i hate u, i love u (feat. olivia o'brien)",gnash,21063,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
193,Galatée,Nekfeu,20999,https://open.spotify.com/track/5kkqEHDSAU5S4TgKQN1l9d
194,"Stop Us - Radio Edit",SIYYU,20871,https://open.spotify.com/track/4S6mzEdM0c3QqQ0NFFm1aF
195,Avant,"Djadja & Dinaz",20612,https://open.spotify.com/track/18ZQtwHl6ni4lZyocy6Ohr
196,"Boyz N The Hood",Kaaris,20532,https://open.spotify.com/track/5zCO1EU3KpM2tsFaZdu9vq
197,"Kiname (feat. Booba)","Fally Ipupa",20411,https://open.spotify.com/track/42Repb4VlMz0HWpBYqyiRC
198,"Petit prince",Sadek,20272,https://open.spotify.com/track/59B7zyMX6ClvnkBeqQWQ0b
199,Fantôme,Rim'K,20252,https://open.spotify.com/track/0KzRZV1KTe50Mlfn1ayV6q
200,"En douceur",Jul,20211,https://open.spotify.com/track/7ownploiAvsusK41kXzJo7
